公司名字,毁约性质,相关链接,链接图片,审核标签,审核描述信息,毁约时间Date
2022毁约公司,毁三方,"如您知道有新的公司毁约，可以点击给个链接提交给我们   
https://airtable.com/shrZLyGkl9Lr9ipSB
请务必按照格式填写，必须要有链接，以及相对于的连接图片（备用保存，防止链接失效）。我们会定时审核，发现不实信息会删除
githup链接在这https://github.com/PaperFly-web/2022-Destruction-of-fresh-graduates",00.jfif (https://dl.airtable.com/.attachments/8f7ccc68979b46d816f6dcd35ab1d64f/3b77e2ed/00.jfif),毕业前夕毁约！！！,"更新日志：
2022.8.18
对数据进行了审核，添加了审核标签，与审核描述",1/1/2022
亚信安全（毁约本人的公司）,毁三方,https://maimai.cn/web/gossip_detail/30535162?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNTliNjI0ZDZlNDU0NDBjZWE1OGE3ZGY0YjAxZjVkMDAiLCJpZCI6MzA1MzUxNjIsInUiOjIzMDI3MjIxOX0.ITpkKuZPfZi6t4IoTskx0bzkxGlI8JY1-LBErjFKRWQ&share_channel=5,46亚信安全.png (https://dl.airtable.com/.attachments/b875134b011f6adf81391b10ee932e00/112d877f/46.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！,分批毁约","这就是毁约楼主的公司，第一次大规模招聘就毁约大部分人。我真的气死，还6月6号才通知，我6,月20号就要毕业，MD，我真的现在想想还有气。",6/1/2022
瓜子,毁三方,https://maimai.cn/web/gossip_detail/30146155?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiNDY4N2MyNmExMzBiNGM2MWFjNjNjNmJhMGE0ZTg3ZjQiLCJpZCI6MzAxNDYxNTUsInUiOjIzMDI3MjIxOX0.UfgWN-vzibakoyPkDNkM6ZhABlNkIifdNPYLJT1gtUs&share_channel=5,3瓜子.png (https://dl.airtable.com/.attachments/54c06f8300d42c44bdeab99919ff4a76/2cdc1786/3.png),"没有违约金,毕业前夕毁约！！！",产品岗毁约大部分，技术岗较少,3/1/2022
银泰,毁三方,https://www.nowcoder.com/discuss/943832,阿里银泰.png (https://dl.airtable.com/.attachments/5ff11e4301fbdc0f2afe4ae6d2c64d07/46ea41ce.png),小部分毁约,,3/1/2022
有赞,毁三方,https://maimai.cn/web/gossip_detail/30090542?src=app&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MzAwOTA1NDIsInUiOjIzMDI3MjIxOSwiZWdpZCI6IjcyYTZkNTcxMzg4ZDRkNWE4ZjU4NGU1M2EzNTRjMTIxIn0.gx1ES6OjUyGUUBUpLZMbAZogPZNSM6vOqN3TT3KDeFw&share_channel=2,1有赞.png (https://dl.airtable.com/.attachments/a5e7ce5e3bae88cf23a80f36c72469ec/7dc169ab/1.png),"大批量毁约！！！,毕业前夕毁约！！！,慎去！！！",就是他，MD，2022年第一个爆出的大批量毁约的公司,3/1/2022
完美世界,毁三方,https://maimai.cn/web/gossip_detail/30162132?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiOTFmYjgzYWFjNDI5NGQ2ZGI4OGI2YmQ2YTJlZWVmODIiLCJpZCI6MzAxNjIxMzIsInUiOjIzMDI3MjIxOX0.1xAxsIodCR9ilFP9eZi4rLp_smBN3FzLmNLfAUkiuwc&share_channel=5,2完美世界.png (https://dl.airtable.com/.attachments/d3a7d38bb6c33224d9d115b126dba703/5e4ae09f/2.png),小部分毁约,,3/1/2022
腾讯,"劝退(告知试用期不过),无赔偿",https://maimai.cn/web/gossip_detail/30224654?src=app&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MzAyMjQ2NTQsInUiOjIzMDI3MjIxOSwiZWdpZCI6IjNmMDMzMDdhYmViNTRjZTU4NGQwZTZmNGQ0ZDE2MjI1In0.1pOwMTbgoJB5b8UTd0vGNslzHrIbrPJs04_zzdNCrfE&share_channel=2,7腾讯.png (https://dl.airtable.com/.attachments/e998277b3d16ecdfc917332dcf9b7254/fa404996/7.png),小部分毁约,,4/1/2022
贝壳,劝退(告知试用期不过),https://maimai.cn/web/gossip_detail/30310795?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiYWY5OGZmOWVlOTUxNDU4MjhjNDhiY2VhYmUwM2U2ZjMiLCJpZCI6MzAzMTA3OTUsInUiOjIzMDI3MjIxOX0.khUqmvqY7pLFxvW833L6IY5l0fM_RPndMTE0IiYVMEw&share_channel=5,12贝壳.png (https://dl.airtable.com/.attachments/1430ddb15ef9eb9a1fb0e0945bc0830a/faf54c38/12.png),"小部分毁约,裁员，但未毁约三方",,4/1/2022
虎牙,毁三方,https://maimai.cn/web/gossip_detail/30283414?src=app&webid=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlZ2lkIjoiZThkMjUwZmM4ZTQ2NDQ1OGJhYjliODlkOWI2NTFiOTAiLCJpZCI6MzAyODM0MTQsInUiOjIzMDI3MjIxOX0.cpmmHMN_z83zhwltezeL5pez1Bm9W3tQnbipqWGcXL0&share_channel=5,9虎牙.png (https://dl.airtable.com/.attachments/1e7739a037fd815abfa5f66f9ab44f57/13fac84b/9.png),小部分毁约,,4/1/2022
达达,毁三方,https://maimai.cn/web/gossip_detail/30245093?src=app&webid=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpZCI6MzAyNDUwOTMsInUiOjIzMDI3MjIxOSwiZWdpZCI6IjcxN2E5MThkZGI1MzRmNzViMzNlODRhMDgyYzQwNDZjIn0.sOr3o6l6_8SPAXG2iowpMsLl4Z-_fJ196oeGkMYEoBg&share_channel=2,5达达.png (https://dl.airtable.com/.attachments/e8f39504320675b4cf7beede49c48538/5f8881a2/5.png),"大批量毁约！！！,分批毁约,毕业前夕毁约！！！,慎去！！！",,4/1/2022
